emoji,article,views,rank,year,month,day,date
☠️,MF_Doom,1004559,3,2021,1,1,2021-01-01
📺,Bridgerton,318450,3,2021,1,2,2021-01-02
📺,Bridgerton,328590,3,2021,1,3,2021-01-03
☠️,Tanya_Roberts,740570,3,2021,1,4,2021-01-04
☠️,Tanya_Roberts,717282,3,2021,1,5,2021-01-05
🇺🇸,Jon_Ossoff,1010513,3,2021,1,6,2021-01-06
🇺🇸,Twenty-fifth_Amendment_to_the_United_States_Constitution,1045830,3,2021,1,7,2021-01-07
💰,Elon_Musk,561264,3,2021,1,8,2021-01-08
💰,Elon_Musk,347695,3,2021,1,9,2021-01-09
🏈,Taylor_Heinicke,674194,3,2021,1,10,2021-01-10
🇺🇸,Insurrection_Act_of_1807,417139,3,2021,1,11,2021-01-11
🇺🇸,Donald_Trump,320155,3,2021,1,12,2021-01-12
🇺🇸,Donald_Trump,499139,3,2021,1,13,2021-01-13
🇺🇸,Donald_Trump,381585,3,2021,1,14,2021-01-14
📺,WandaVision,504530,3,2021,1,15,2021-01-15
📺,Richard_Ramirez,563284,3,2021,1,16,2021-01-16
☠️,Phil_Spector,949251,3,2021,1,17,2021-01-17
☠️,Phil_Spector,620753,3,2021,1,18,2021-01-18
📺,Richard_Ramirez,378614,3,2021,1,19,2021-01-19
🇺🇸,Joe_Biden,2632513,2,2021,1,20,2021-01-20
🇺🇸,Joe_Biden,1295147,3,2021,1,21,2021-01-21
☠️,Hank_Aaron,550165,3,2021,1,22,2021-01-22
☠️,Larry_King,1497544,2,2021,1,23,2021-01-23
☠️,Larry_King,666409,3,2021,1,24,2021-01-24
🏈,Patrick_Mahomes,515311,3,2021,1,25,2021-01-25
💸,Larry_Hillblom,336863,3,2021,1,26,2021-01-26
☠️,Cloris_Leachman,237830,3,2021,1,27,2021-01-27
☠️,Cloris_Leachman,654719,3,2021,1,28,2021-01-28
☠️,Cicely_Tyson,1753348,2,2021,1,29,2021-01-29
☠️,Sophie_(musician),792850,3,2021,1,30,2021-01-30
☠️,Sophie_(musician),414325,3,2021,1,31,2021-01-31
🤼‍♂️,Royal_Rumble_(2021),1311544,3,2021,2,1,2021-02-01
☠️,Dustin_Diamond,728807,3,2021,2,2,2021-02-02
☠️,Captain_Tom,350051,3,2021,2,3,2021-02-03
🇺🇸,Marjorie_Taylor_Greene,270245,3,2021,2,4,2021-02-04
